Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
Spider-Man,Museum Candidate,Low,78,67,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified","The Amazing Spider-Man, Vol. 4",799A,799,A,Part 3: The Ties That Bind,Regular Alex Ross Cover,Marvel Comics,Spider-Man,Modern,"Apr 18, 2018",Jun 2018,Jun 2018,75960608765579911,1,4,22.0,3.99,0.0,,Minor,1st cameo app. of Goblin Childe,1st cameo appearance,Go Down Swinging,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bc/bc_538768_0_Part3TheTiesThatBind.jpg,b0e41aecdae741ef9cf76af5c6b4550d,538768,64163,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,10
Spider-Man,Investment Hold / Review,Low,73,77,90,Yes,2,Yes,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Spider-Gwen: Ghost Spider,1B,1,B,Part One: Uncharted,Variant Stanley Artgerm Lau Cover,Marvel Comics,,Modern,"Oct 24, 2018",Dec 2018,Dec 2018,75960609121800121,1,High Value Bin,32.0,3.99,0.0,,Minor,1st solo series of Gwen Stacy as Ghost Spider,First/Last/Nth issue,,Spider-Geddon,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/53/53_582495_0_PartOneUncharted.jpg,373ff79ad5e14e1194d1acfda53a1bf2,582495,85506,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,16
Spider-Man,Investment Hold / Review,Low,73,77,90,Yes,2,Yes,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Spider-Gwen: Ghost Spider,1B,1,B,Part One: Uncharted,Variant Stanley Artgerm Lau Cover,Marvel Comics,,Modern,"Oct 24, 2018",Dec 2018,Dec 2018,75960609121800121,1,High Value Bin,32.0,3.99,0.0,,Minor,1st solo series of Gwen Stacy as Ghost Spider,First/Last/Nth issue,,Spider-Geddon,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/53/53_582495_0_PartOneUncharted.jpg,4feb431f65fb443eb7166585f20ab003,582495,85506,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,19
Cover Art & Favorite Artists,Inventory Review,Low,73,57,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified","The Mighty Thor, Vol. 2",705D,705,D,Sundown,Variant Stanley Artgerm Lau Cover,Marvel Comics,Thor,Modern,"Mar 21, 2018",May 2018,May 2018,75960608774770541,1,High Value Bin,46.0,3.99,0.0,,Minor,Death of Jane Foster,Death,The Death of the Mighty Thor,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/aa/aa_531101_0_Sundown.jpg,6e5d1b1d140547c6ab58f390bedd3d4f,531101,65013,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,23
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Flash, Vol. 4",1A,1,A,The Flash,Francis Manapul Regular Cover,DC Comics,Flash,Modern,"Sep 28, 2011",Nov 2011,Nov 2011,76194130647600111,1,18,50.0,2.99,0.0,,Minor,1st app. of Dr. Elias,1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/29/29_287960_0_TheFlash.jpg,a2b0d05dedc34d4fa63502845326a285,287960,41301,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,76
Batman,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,No,,"Flashpoint, Vol. 2",1A,1,A,Chapter One,Andy Kubert Regular Cover,DC Comics,,Modern,"May 11, 2011",Jul 2011,Jul 2011,76194129873300111,1,18,100.0,3.99,3.99,,Major,1st app. of Thomas Wayne as Batman,1st appearance,,Flashpoint,Action; Adventure; Super-Heroes,Raw,9.4,9.4,,,https://clzcomics.r.sizr.io/core/covers/lg/8e/8e_274473_0_FlashpointSpecialEdition.jpg,99697013c71245f883701d42890fa4f7,274473,38345,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,96
First Appearances,Museum Candidate,Low,75,75,70,No,1,No,No,No,No,,"Thor, Vol. 4",1A,1,A,If He Be Worthy,Regular Russell Dauterman Cover,Marvel Comics,Thor,Modern,"Oct 01, 2014",Dec 2014,Dec 2014,75960608116500111,1,Wall Display,290.0,3.99,3.99,,Major,1st app. of Jane Foster as Thor,1st appearance,,,Action; Adventure; Fantasy; Super-Heroes,Slabbed,9.8,9.8,,,https://clzcomics.r.sizr.io/core/covers/lg/34/34_378982_0_IfHeBeWorthy.jpg,1f748749d60e41498eef2dd1f5f5fd97,378982,57213,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,97
Superman,Museum Candidate,Low,78,67,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Superman Unchained,1A,1,A,The Leap / Epilogue,Jim Lee Regular Cover,DC Comics,Superman,Modern,"Jun 12, 2013",Aug 2013,Aug 2013,76194131498300111,1,28,24.0,4.99,0.0,,Minor,1st issue,First/Last/Nth issue,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6d/6d_333226_0_TheLeapEpilogue.jpg,1bd3a6ea83534cd795f32941d4c8eeb4,333226,49563,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,120
Batman,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Batman: The Drowned,1A,1,A,Rime of the Ancient Mariner,Regular Jason Fabok Foil-Stamped Cover,DC Comics,,Modern,"Oct 18, 2017",Dec 2017,Dec 2017,76194135302900111,1,Wall Display,65.0,3.99,0.0,,Minor,1st app. of Batman/Aquaman Dark Multiverse Hybrid,1st appearance,Dark Nights,Dark Nights: Metal,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/1f/1f_500287_0_BatmanTheDrowned1.jpg,acf4d72f069242f895cff5acf3753193,500287,76790,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,134
Batman,Museum Candidate,Low,78,77,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Dark Nights: Metal,2C,2,C,Part 2,Jim Lee Variant Cover,DC Comics,,Modern,"Sep 13, 2017",Nov 2017,Nov 2017,76194134892600231,1,13,24.0,3.99,0.0,,Minor,cameo app. of Batman Who Laughs,1st cameo appearance,Dark Nights: Metal,Dark Nights: Metal,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/9e/9e_499333_0_Part2.jpg,ee5aaf7f35bf4a84903851d2c208b72d,499333,76296,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,137
