id,headline,action,flip_score,listing,target_low,target_high,target_mid,max_buy,comps,pop,age,pc_host,pc_id,why
jordan-rc,1986 Fleer Michael Jordan #57 raw,Buy now,67.59,3600,5125,5500,5300,5022.5,4,312,40,sportscardspro,72584,Ask sits under a tight raw band. Pop 312 is the 10 census — do not confuse that with raw supply.
charizard-unlimited,Base Set Charizard #4 unlimited,Pass,11.99,420,246,256.25,251.5,241.08,4,18400,27,pricecharting,630417,"Classic trap: pay over raw comps, then add Priority fees, into a 18k pop."
asm-1,Amazing Spider-Man #1 (1963),Hold,35.75,21000,20250,22750,21500,19845,3,42,63,pricecharting,2314818,In-band on a thin key. Hold — you are not being paid to take restoration risk.
mantle-52,1952 Topps Mickey Mantle #311,Pass,21.75,185000,98500,106000,102000,96530,3,88,74,sportscardspro,1821843,Ask is ~2× the sold band. Famous card ≠ automatic deal.
alpha-lotus,Alpha Black Lotus,Hold,35.75,280000,267500,292500,275000,262150,3,19,33,pricecharting,2244625,Hold. You can be right on price and still wait a year for the next check.
hulk-181,Incredible Hulk #181 (1974),Buy now,72.59,140,235,252.5,245,230.3,4,2100,52,pricecharting,2386994,"Buy the book, skip the slab. Discount to raw solds is the whole trade."
lebron-chrome,2003 Topps Chrome LeBron #111,Hold,22.75,505,495,535,510,485.1,3,5400,23,sportscardspro,146424,"Hold / pass on grading. You are buying a liquid raw card, not a 10 ticket."
blue-eyes-lob,Blue-Eyes White Dragon LOB-001,Pass,11.99,95,43.5,49.75,46,42.63,4,8900,24,pricecharting,2530559,Pass. Name the print or you overpay. 1st Edition is a different SKU (id 2530687).
charizard-1st,Base Set Charizard #4 1st Edition,Buy now,76.99,7200,11125,12275,11650,10902.5,4,164,27,pricecharting,715593,Buy now on raw vs a real 1st band — after you have named the print.
prismatic-etb,Prismatic Evolutions ETB (sealed),Pass,5.99,89,49.5,52.75,51,48.51,4,50000,1,pricecharting,8256647,Pass. Modern sealed after the chase window is how rooms fill with dead cardboard.
